GOID,GENE
GO:0006468,SAK1
GO:0006468,SDS24
GO:0006468,SIP2
GO:0006468,SSK1
GO:0006468,SSK2
GO:0006468,SSN3
GO:0006468,STE11
GO:0006468,STE5
GO:0006468,STE50
GO:0006468,TFB1
GO:0006468,TOR1
GO:0006468,VPS15
GO:0006468,YAK1
GO:0006470,BUD14
GO:0006470,CDC55
GO:0006470,DCR2
GO:0006470,GIP1
GO:0006470,GLC7
GO:0006470,MSG5
GO:0006470,NET1
GO:0006470,OCA4
GO:0006470,PHO13
GO:0006470,PPT1
GO:0006470,PSR1
GO:0006470,PSY2
GO:0006470,PTP1
GO:0006470,PTP3
GO:0006470,RTS1
GO:0006470,SAP155
GO:0006470,SAP185
GO:0006470,SDS24
GO:0006470,SIT4
GO:0006470,TPD3
GO:0006470,WHI2
GO:0006470,YMR1
GO:0006486,ALG1
GO:0006486,ALG12
GO:0006486,KRE5
GO:0006486,KTR2
GO:0006486,MNS1
GO:0006486,PMT1
GO:0006486,SEC59
GO:0006486,YDR307W
GO:0006497,GPI1
GO:0006520,ABZ1
GO:0006520,ADH4
GO:0006520,AGX1
GO:0006520,ALD2
GO:0006520,ALT1
GO:0006520,ARG4
GO:0006520,ARO10
GO:0006520,CAR1
GO:0006520,CHA4
GO:0006520,GCN4
GO:0006520,GDH1
GO:0006520,GDH2
GO:0006520,GLY1
GO:0006520,GUS1
GO:0006520,HFD1
GO:0006520,HIS5
GO:0006520,HIS7
GO:0006520,HOM2
GO:0006520,ILV5
GO:0006520,IRC7
GO:0006520,KGD2
GO:0006520,LEU1
GO:0006520,LEU9
GO:0006520,MET13
GO:0006520,MET17
GO:0006520,MET3
GO:0006520,MRI1
GO:0006520,PHO2
GO:0006520,SAM4
GO:0006520,YHR033W
GO:0006520,YIL167W
GO:0006520,YML082W
GO:0006605,AFG3
GO:0006605,ARP2
GO:0006605,ATG2
GO:0006605,ATG20
GO:0006605,COG1
GO:0006605,COG5
GO:0006605,COG8
GO:0006605,COR1
GO:0006605,HOT13
GO:0006605,HSP82
GO:0006605,MAS2
GO:0006605,MIM1
GO:0006605,OCT1
GO:0006605,PEX10
GO:0006605,PEX14
GO:0006605,PEX6
GO:0006605,PHO23
GO:0006605,RAS2
GO:0006605,SEC61
GO:0006605,SEC63
GO:0006605,SEC8
GO:0006605,SRP72
GO:0006605,STE24
GO:0006605,TIM10
GO:0006605,TIM44
GO:0006605,VPS15
GO:0006605,YGR066C
GO:0006605,YPT7
GO:0006629,ACC1
GO:0006629,AFT1
GO:0006629,ALG1
GO:0006629,ALG12
GO:0006629,AUR1
GO:0006629,CHO1
GO:0006629,CHO2
GO:0006629,CSG2
GO:0006629,DCI1
GO:0006629,DGA1
GO:0006629,EPT1
GO:0006629,ERG24
GO:0006629,ERG26
GO:0006629,ERG9
GO:0006629,FAB1
GO:0006629,FAS1
GO:0006629,FMP30
GO:0006629,GPI1
GO:0006629,HFA1
GO:0006629,HFD1
GO:0006629,HST3
GO:0006629,INO4
GO:0006629,LAC1
GO:0006629,LCB2
GO:0006629,LCB4
GO:0006629,LRO1
GO:0006629,NCP1
GO:0006629,NCR1
GO:0006629,NTE1
GO:0006629,OAF1
GO:0006629,OSH7
GO:0006629,PCS60
GO:0006629,PDR16
GO:0006629,PHO81
GO:0006629,PIK1
GO:0006629,PIP2
GO:0006629,PLB3
GO:0006629,PSD2
GO:0006629,RSP5
GO:0006629,SEC59
GO:0006629,SFK1
GO:0006629,SUR1
GO:0006629,TAM41
GO:0006629,TCB2
GO:0006629,TCB3
GO:0006629,TGL2
GO:0006629,TOR1
GO:0006629,TSC11
GO:0006629,TSC13
GO:0006629,YAT1
GO:0006629,YIL160C
GO:0006629,YJU3
GO:0006629,YMR1
GO:0006629,YOR022C
GO:0006629,YPR128C
GO:0006766,ABZ1
GO:0006766,ALD2
GO:0006766,BIO3
GO:0006766,BUD17
GO:0006766,ISA1
GO:0006766,SPE3
GO:0006766,YPR127W
GO:0006811,AFT1
GO:0006811,ARN2
GO:0006811,ARR3
GO:0006811,ATM1
GO:0006811,ATO2
GO:0006811,AVT1
GO:0006811,BPT1
GO:0006811,COX6
